1,Mirazur,Menton,France
2,Noma,Copenhagen,Denmark
3,Asador Etxebarri,Axpe,Spain
4,Gaggan,Bangkok,Thailand
5,Geranium,Copenhagen,Denmark
6,Central,Lima,Peru
7,Mugaritz,San Sebastián,Spain
8,Arpège,Paris,France
9,Disfrutar,Barcelona,Spain
10,Maido,Lima,Peru
11,Den,Tokyo,Japan
12,Pujol,Mexico City,Mexico
13,White Rabbit,Moscow,Russia
14,Azurmendi,Larrabetzu,Spain
15,Septime,Paris,France
16,Alain Ducasse au Plaza Athénée,Paris,France
17,Steirereck,Vienna,Austria
18,Odette,Singapore,Singapore
19,Twins Garden,Moscow,Russia
20,Tickets,Barcelona,Spain
21,Frantzén,Stockholm,Sweden
22,Narisawa,Tokyo,Japan
23,Cosme,New York,USA
24,Quintonil,Mexico City,Mexico
25,Alléno Paris au Pavillon Ledoyen,Paris,France
26,Boragó,Santiago,Chile
27,The Clove Club,London,UK
28,Blue Hill at Stone Barns,Pocantico Hills,USA
29,Piazza Duomo,Alba,Italy
30,Elkano,Getaria,Spain
31,Le Calandre,Rubano,Italy
32,Nerua Guggenheim Bilbao,Bilbao,Spain
33,Lyle's,London,UK
34,Don Julio,Buenos Aires,Argentina
35,Atelier Crenn,San Francisco,USA
36,Le Bernardin,New York,USA
37,Alinea,Chicago,USA
38,Hiša Franko,Kobarid,Slovenia
39,A Casa do Porco,São Paulo,Brazil
40,Restaurant Tim Raue,Berlin,Germany
41,The Chairman,Hong Kong,China
42,Belcanto,Lisbon,Portugal
43,Hof Van Cleve,Kruisem,Belgium
44,The Test Kitchen,Cape Town,South Africa
45,Sühring,Bangkok,Thailand
46,De Librije,Zwolle,Netherlands
47,Benu,San Francisco,USA
48,Ultraviolet by Paul Pairet,Shanghai,China
49,Leo,Bogotá,Colombia
50,Schloss Schauenstein,Fürstenau,Switzerland
