1,Noma,Copenhagen,Denmark
2,Geranium,Copenhagen,Denmark
3,Asador Etxebarri,Atxondo,Spain
4,Central,Lima,Peru
5,Disfrutar,Barcelona,Spain
6,Frantzén,Stockholm,Sweden
7,Maido,Lima,Peru
8,Odette,Singapore,Singapore
9,Pujol,Mexico City,Mexico
10,The Chairman,Hong Kong,China
11,Den,Tokyo,Japan
12,Steirereck,Vienna,Austria
13,Don Julio,Buenos Aires,Argentina
14,Mugaritz,San Sebastian,Spain
15,Lido 84,Gardone Riviera,Italy
16,Elkano,Getaria,Spain
17,A Casa do Porco,São Paulo,Brazil
18,Piazza Duomo,Alba,Italy
19,Narisawa,Tokyo,Japan
20,DiverXO,Madrid,Spain
21,Hiša Franko,Kobarid,Slovenia
22,Cosme,New York,USA
23,Arpège,Paris,France
24,Septime,Paris,France
25,White Rabbit,Moscow,Russia
26,Le Calandre,Rubano,Italy
27,Quintonil,Mexico City,Mexico
28,Benu,San Francisco,USA
29,Reale,Castel di Sangro,Italy
30,Twins Garden,Moscow,Russia
31,Restaurant Tim Raue,Berlin,Germany
32,The Clove Club,London,UK
33,Lyle's,London,UK
34,Burnt Ends,Singapore,Singapore
35,Ultraviolet by Paul Pairet,Shanghai,China
36,Hof Van Cleve,Kruishoutem,Belgium
37,SingleThread,Healdsburg,USA
38,Boragó,Santiago,Chile
39,Florilège,Tokyo,Japan
40,Sühring,Bangkok,Thailand
41,Alléno Paris au Pavillon Ledoyen,Paris,France
42,Belcanto,Lisbon,Portugal
43,Atomix,New York,USA
44,Le Bernardin,New York,USA
45,Nobelhart & Schmutzig,Berlin,Germany
46,Leo,Bogotá,Colombia
47,Maaemo,Oslo,Norway
48,Atelier Crenn,San Francisco,USA
49,Azurmendi,Larrabetzu,Spain
50,Wolfgat,Paternoster,South Africa
